Name,Client Code,Production License Keys,All License Keys,Unblocked Prod License Keys
Gemeente Den Haag ,000077,26,121,1
Capital Finance,000034,9,9,0
Vodacom,000170,12,14,0
Boral,000029,10,27,0
Best Buy Co. Inc,000027,28,34,23
CIM Ltd,000039,7,10,0
Alyeska Pipeline,003517,1,1,0
Extensity Pty Ltd,EXT,0,0,0
Highways Agency,000089,9,12,0
Tube Lines Limited,000166,23,33,0
Bunnings Group Limited,000032,35,72,32
Lend Lease UK Ltd,000107,0,0,0
Health Alliance,000087,51,101,43
Panduit,000182,20,34,20
Towers Perrin,000163,2,31,0
Burns & McDonnell,000183,11,56,5
Zebra  Technologies,000178,3,10,0
Trinity Industries,000165,9,19,1
Uponor Corporation,000188,53,65,49
Overstock.com,000129,32,39,32
Forsythe Technology,000068,10,14,0
Projected Ltd,002922,30,51,0
ITV,000098,1,12,0
ABT Associates,000006,11,17,4
Network Rail,000120,231,261,231
"Terracon Consultants, Inc (TSVC)",000158,3,3,0
"General Dynamics Information Technology, Inc  (GDIT)",000220,18,77,1
Southern Cross Healthcare,000152,1,1,0
Terex Corp,000199,41,71,0
Dendrite,000225,1,3,0
Tabcorp Holdings Ltd,000198,13,42,0
General Electric Co IND & POW,000301,4,12,0
Schiphol Group,000145,3,3,0
Accor North America (DONT USE),000008,4,6,0
The University of Waikato,000217,1,6,0
Real Networks,001798,4,12,0
Atlas Elektronik UK Ltd,000018,11,11,4
Orthofix Inc,000127,41,50,41
TJX Companies ,000190,48,188,45
Goodman Networks,000083,8,11,0
ARAMARK IT Procurement - Tower,000014,43,118,31
GE Energy Management - dont use (too many),000302,118,206,6
Morrison Supermarkets PLC,000214,76,123,62
Apex Analytix,000192,0,1,0
Concur,000180,5,19,0
Eaton Corporation USA,002969,15,117,13
GE Energy( DONT USE ),000302,16,72,0
Swissgarde,000156,1,2,0
Aida - Princess - DONT use,004829,47,58,18
Amazon Corporate LLC,000189,90,110,0
ICAP,000325,1,2,0
Worthington Industries,000207,73,117,28
CMA CGM,000040,16,37,15
McDonald's Corporation,000109,6,7,0
Air Liquide,000011,23,40,16
American Home Patient,000212,1,1,1
TPG - VHA,000171,18,19,10
Mitsubishi Corp,000244,2,7,0
Co-Op Atlantic,000252,1,1,0
Charles Darwin University,000256,1,3,0
"MasTec, Inc.",000292,33,63,3
Rand,000283,1,3,0
The University of Melbourne,000299,5,15,0
Bristol Myers  (CELGENE),000234,17,48,0
Freedom Mobile (Wind Mobile),000348,67,89,2
Coach America,000337,1,3,0
"Knowles Electronics, LLC",000200,8,41,3
Bull,000251,11,36,0
Transgrid,000338,2,5,0
Erasmus MC,000267,4,18,0
Uni of Oxford ,002752,77,149,65
Angel Trains Ltd,003394,5,11,5
Mutual Materials Company,003034,2,2,0
Spyglass Corporate Services Group,004613,8,50,0
Carlson Wagon Lit CWL,000211,9,25,0
National Oilwell Varco - NOV,000237,6,12,0
Hi3G Access AB,000277,6,16,6
DAI Inc,000273,8,14,3
Australian Red Cross Lifeblood Service,000242,6,43,0
Sleepys,000275,1,2,0
Oak Ridge Associated Universities,000222,18,23,16
HHSK,000248,9,38,0
ICU Medical Inc,000231,36,52,29
Ixiacom,000221,3,14,0
Tnuva,000266,2,11,2
RACWA Holdings,000238,17,21,5
Aviat Networks,003018,17,80,0
Thales Corporate Services,000328,30,67,24
Edith Cowan University	,000055,15,47,0
Hitachi Data Systems,002832,6,11,0
GE Power,000298,5,8,0
Navitas Limited,000246,6,15,4
UK Shared Business Centre Ltd,000226,73,107,27
Novelis - Aleris International Inc,000227,56,72,53
Liberty Global Services B.V,000255,13,13,0
LeHigh Hanson,000261,2,6,0
Liberty Global Services B.V.,000255,0,13,0
Panasonic Avionics Corporation,000258,30,95,12
CAE Inc,000181,8,11,5
Ministry of Health,000289,4,4,0
iRobot Corporation,000286,45,68,0
GE Wind Energy,000301,2,2,0
Best Buy Canada Limited,000305,19,23,0
Graco Inc,000308,48,95,44
Wood Group - PSN -  DONT NOT USE,NONE,16,31,0
Ultimate Electronics,000326,1,3,0
Buffalo Rock Company,000213,2,5,1
Coventry Group Ltd (CGL),000216,14,27,0
Teva -  Pharmaceutical Industries Limited - Israel,000245,7,14,0
Suncorp Corporate Services ,000264,16,31,0
Victorian Department of Education and Training (DET),000285,13,30,0
TDIC,000278,15,22,0
Power Design Inc,000343,15,34,15
NBN Co Limited,000346,69,109,24
Co-Operators Financial Services Limited,000358,3,6,1
Leighton contractor,000310,4,8,0
Galliford Try,002891,5,37,0
RBS Scotland,002898,29,42,0
"Getty Images (Seattle), Inc",002916,23,28,23
Ausenco Services Pty Ltd,002945,10,40,8
Tri-Country Metropolitan Transportation (Tri-met),002913,7,30,6
Cornwall Council,002817,1,1,0
Velcro USA Inc,002965,16,102,1
St Vincents and Mater Health Sydney,002842,3,8,0
Ziggo,002822,17,57,0
Nordstrom,002831,10,26,7
Bricoman France SA,002828,2,6,0
American Commercial Lines,002853,2,6,0
Fidelity Investments,002906,8,16,0
Elsevier UK,002907,81,208,14
Gilt Groupe,002929,4,5,0
Syneos Health - INC Research - ,002961,15,36,1
mCloud Technologies Services Inc. - ( Autopro ),002914,2,8,0
Euroclear SA/NV,003030,100,215,42
City of Rotterdam,000317,13,42,0
AJ Lucas Group Ltd,002768,3,13,0
Neiman Marcus,000185,18,53,0
McGraw-Hill Education,002823,40,62,36
The David J. Joseph Company,003170,2,12,2
Leroy Merlin Romania (Vostok),002818,4,17,4
Two Degrees Mobile,002829,2,11,0
"Motorola Solutions, Inc",002883,20,38,13
Leroy Merlin España SLU,002874,3,14,0
Food and Agriculture Organization of the United Nations (FAO),002875,10,42,4
Bricocenter Italia S.r.l,006078,2,9,0
Emerson Climate Technologies,003747,18,54,11
Uline,002946,37,126,28
Government WA,002962,5,7,0
Tanana Chiefs,002859,3,4,3
Aerovironment Inc.,002858,35,44,0
HomeAway VRBO,002884,33,35,0
TKE Elevator ,003487,11,20,7
"VeriSign, Inc.",000340,6,7,3
DOVER -(OPW)  DONT USE,NONE,7,13,3
Atradius Insurance,002786,0,13,0
Department of Justice and Community Safety,002787,0,45,0
"Trimble, Inc",003070,17,64,0
LKQ Corporation,002809,4,15,4
"Exterran Energy Solutions, L.P.",002871,15,25,1
The Scottish Government,002838,9,12,0
FritoLay,006223,12,34,0
GTAA - Greater Toronto Airport,002979,2,17,0
Yankee Candle - UK Europe,003051,9,24,9
Ceragon,003098,6,19,0
Avery Dennison Corporation,003009,28,38,28
SDHB - Southern DHB, ,1,4,0
Specsavers Optiical,003375,71,128,5
inComm,000284,12,22,12
Kainga Ora - Housing New Zealand Corporation,002807,105,424,89
Zebra Technologies,000178,26,29,10
J.C. Penney Corp Inc,000186,59,87,18
C&S Wholesale Grocer - CSWG,002938,11,24,0
Experian,002964,59,83,51
Ambulance Victoria,003448,9,15,9
Dover Corporation,003032,2,11,1
FM Conway,003080,8,20,3
Haemonetics,002863,5,6,0
Texas Hydraulics Inc,003075,23,39,0
Fruit of the Loom,003079,13,18,9
NRC,003077,1,1,0
Prudential Ins Co America,003097,24,50,13
Womack Machine Supply,003078,3,3,0
SSE ,002877,12,75,12
Los Alamos National Laboratory (LANL),002895,3,3,1
Aquarelle Clothing,002923,1,1,0
Southwestern Energy Company (SWN),002800,4,6,0
NRMA,003087,34,46,24
American Axle & MFG INC,003084,23,30,7
Harlequin Enterprises ULC,002977,3,5,0
Tiger Consumer Brands Limited,000351,2,7,0
WMS - DONT USE ,002794,3,3,3
Wonderful Orchards,003123,21,63,14
Flowserve Corporation,002783,41,80,8
Wesfarmers Resources,002789,3,7,0
ResMed,002975,8,22,0
"Horton Holding, Inc.",002926,13,27,13
Kamer van Koophandel,002876,1,1,0
Marsh Corporate Services - MMC,002599,9,45,0
CSG Systems Inc,003041,12,43,9
City of Monash Council,003446,1,7,0
Alabama State Port Authority,003091,1,1,0
Lozier Corporation,003090,25,198,0
JTEKT / KOYO,003405,10,17,10
Placon Corporation,002882,19,56,0
Lifecell,003470,3,3,0
Fjarsysla rikisins,003616,1,2,1
American Red Cross,003121,19,57,9
Ministerie van Veiligheid en Justitie,003609,4,17,0
ATI Specialty Metals,003897,11,42,0
Essilor International,003279,8,13,0
Thermos LLC,003381,8,12,6
Millicom International Cellular ,000691,21,83,0
First National Bank ,003396,16,30,0
Essilor USA,003424,50,81,11
KPN B.V (Comparex is now SoftwareONE),003312,61,99,0
Fly Dubai,003562,13,45,0
Medisch Centrum Haaglanden,003633,1,2,0
Emirates Group,003644,15,27,15
Wyndham Destinations,002987,98,111,62
Econet Wireless,003561,1,6,0
Synchronoss Technologies,005077,7,18,0
KV Manufacturing - Knape & Vogt,003248,14,66,14
"Check Into Cash, Inc",003376,6,20,0
Canadian Nuclear Laboratories cnl,000019,3,3,3
eHealth - NSW Health,003818,47,138,19
Zeus Industrial Products,003107,16,18,12
Pomeroy,003045,18,42,0
DaVita,003109,15,18,8
Brake Parts Inc LLC,003372,32,59,0
Ervia - Irish Water,003390,24,57,0
Nuance Communications,003330,7,14,2
Hyde Housing,003421,1,3,0
GCI Communication Corp,003457,4,13,4
Vestis - Aramark Uniform ,003466,31,48,29
Occidental Petroleum (OXY Inc),003481,4,5,0
Shutterfly Inc.,003507,12,13,0
John Lewis Plc,003474,5,11,5
NCH Corporation,003521,4,14,0
Cigna,003212,17,21,14
Imperial College London,003331,6,27,4
Walgreens,003419,19,24,0
SITA INC UK Limited,003315,3,24,3
James Avery Craftsman,003615,4,11,3
KPMG Services (Pty) Ltd (SA),003655,3,9,2
LinkedIn Corporation,003668,16,29,12
Arbonne,003671,2,2,0
"Michael's Stores, Inc.",003541,10,25,0
Clinigen - IDIS,003429,1,1,0
Region of Waterloo,003245,4,34,4
Mortenson Construction,003221,2,2,0
Darling Ingredients ,003451,9,15,8
Colonial Pipeline Company,003485,2,48,0
Championx (Artificial Lift) DONT USE, ,6,33,0
APA - APT Management Services ,003471,9,24,0
Citco Technology Management Inc,003623,27,62,0
AngioDynamics,003660,7,24,0
Nav Canada,003710,15,33,0
Foundever Operating,003806,24,32,8
Lululemon Athletica Canada Inc,003093,10,15,10
OIA Global Logistics,003039,8,17,1
Scotia Gas Networks,003071,14,136,0
Masternaut,003366,2,3,0
Tsingtao,003383,1,6,0
NPL Management - National Physical Laboratory,003392,4,47,4
Kulicke & Soffa (M) Sdn Bhd (KNS),003445,1,5,1
G6 Hospitality LLC,000008,9,16,1
Arrisi,003490,1,1,0
MasterBrand Cabinets,003578,6,12,0
Atlantic Lottery Canada - API,003696,4,4,4
Expedia ** DONT USE,003360,10,32,0
Merit Medical Systems Inc,003772,1,5,1
Wells Enterprises,003936,0,3,0
Bob Evans Farms,003947,10,28,0
Scholastic Publishing,004037,3,51,1
Brand Energy & Infrastructure Services,004226,5,15,5
Tecnoquimicas S.A.,002667,13,22,0
Yankee Candle - (Newell) US,003728,36,61,29
"Garmin International, Inc.",005046,33,72,30
Dublin (DONT USE),000149,2,5,0
Toshiba International Corporation,005638,8,75,0
Virgin Galactic Launcher One,003012,1,3,0
Vertiv Group dba Corporation ,002042,48,125,0
Food and Agriculture Organization of the United Nations,002875,3,7,3
"Allen Lund Company, Inc",004528,1,5,1
RexelUSA,000141,1,1,0
AMICO ,005855,1,3,0
IDP Education Ltd,005816,6,11,4
EPCOR Utilities Inc.,004938,13,42,11
Fujitsu,000070,3,10,0
Electrolux - UB (DONT USE),008315,27,45,0
Sonoco Products Company,003824,27,129,24
PepsiCo,003124,3,8,1
Sally Holdings LLC,004583,5,23,0
Nucor,003170,5,5,3
Ricoh Americas,003348,0,4,0
Honeywell Intelligrated,003213,20,33,1
Pearson Shared Service,000215,86,168,13
"Jane Street Group, LLC",003835,2,10,0
Huntington National Bank,003815,16,21,5
Irving Oil Limited,003894,38,93,0
HDSR - Hoogheemraadschap de Stichtse Rijnlanden,000093,7,10,1
"Forterra Pressure Pipe, Inc.",004092,1,2,0
Ocado Innovation Ltd,004002,2,23,0
Conforama FR,003826,4,28,3
TJX,000190,0,0,0
Sanmina Corporation - Sanmina-SCI Systems (MALAYSIA) SDN BHD,004356,2,12,2
Wood Group UK Limited,000323,23,65,1
CBS Corporation,003413,1,7,0
DJO Global ,004429,8,71,0
Dallas Independent School District,004788,3,15,3
Mizuho,004562,1,2,0
CooperVision LLC Europe,005670,14,49,11
United Airlines,004554,14,29,13
The Ministry of Economic Affairs (DICTU),005261,12,48,4
Primark Limited,004790,2,9,0
Acuity Brands,004020,56,178,24
Zoll Medical,005737,10,31,0
Petrofac,003869,2,3,0
Five Below,005917,5,9,5
Meridian Brick,005743,19,33,0
ENTRUST,004763,12,62,2
CDHB Temp keys, ,4,4,4
Tri-Arrows Aluminum,005882,13,75,0
Worley Services ,003695,18,48,11
Arby's Restaurant Group,003973,6,15,0
LSEG - Business Services Limited,004202,52,210,31
CNIM Mutual Services,003920,11,26,9
Transport for London (Tubelines),000166,4,4,0
FreightCar America Inc.,003985,4,9,0
S&P Global - Mcgraw hill financials,004068,4,6,0
Ribbon Communications - Sonus,004577,14,38,0
NBTY - Natures Bounty,003717,4,7,0
ANWB,002740,3,6,0
WSP USA,000130,30,30,26
Toyota Boshoku America (TBA),003237,8,55,8
Camping World,003188,14,59,0
HDR Inc,003498,85,178,1
Helmerich & Payne International Drilling Co.O.,004730,4,32,1
NZHP,003813,181,599,0
Textron Systems Corporation,004717,16,115,0
Yanmar Info Systems ,005539,2,5,1
Huhtamaki Hong Kong Ltd,004597,5,13,0
Hormel Foods,003362,8,9,0
ASML,003921,20,38,0
The Go Ahead Group,004760,5,17,0
Viasat Inc,004511,6,26,6
Clinigen Group PLC,003429,15,84,11
White Cap ,002949,33,91,2
Universal Furniture Int. Inc.,005921,7,7,7
SGS Societe Generale,006079,70,197,70
Virgin Orbit LLC,005830,5,9,0
Eclipx Group,005910,14,29,0
Reed Exhibitions Ltd,005501,38,72,9
TIGO,003854,2,2,0
"Laitram, L.L.C. Operating Unit",006089,16,63,8
Fortegra,003586,1,6,0
WilsonArt Engineered Surfaces,003856,3,14,0
American Tire Distributors,004258,15,24,4
Lesaffre Corporation,004941,21,45,21
Sungard AS,005962,2,2,2
Panda Retail Company,006146,8,19,0
"TKC Holdings, LLC",003028,12,28,12
"Urban Outfitters, Inc",005893,12,21,11
Fujifilm Sonosite Inc,006834,7,22,0
Doosan  - Clark Equipment Company ,005623,59,92,15
New Jersey Transit,000564,3,10,0
Crenlo Engineered Cabs,001360,8,15,8
Wood Group PLC ,000323,9,18,0
SAAB Defense and Security,000148,1,2,1
Icon plc,004520,3,163,1
Rogers Communication,000143,1,1,1
Foreign & Commonwealth and Development Office (FCDO),002834,0,11,0
MOD - Ministry of Defense,001319,6,20,0
"Burlington Stores, Inc",001733,6,78,6
Asesoria Y Servicios GIS S.A. DE C.V.,005188,2,4,0
Fort Dearborn Corporation,007234,2,7,0
" ""System PBO"" (Previously ZAO)",002845,13,25,2
Vertiv APAC,005810,5,15,0
Buzzi Unicem USA Inc,005994,2,8,2
Loomis U.S.,004314,1,10,1
Bergelectric Corporation,004756,0,6,0
Toll Group - TGE ,006282,69,78,60
ADIA - Abu Dhabi Investment ,005360,11,37,11
ChampionX (Apergy),003314,9,29,0
Bimbo Canada - Canada Bread Company,007021,4,11,0
KEMET Electronics Corp,006829,1,6,1
Attends Healthcare Products,004657,4,16,3
Metroline,005976,1,14,1
Wincanton,005790,2,8,0
Zeus ,003107,0,1,0
University Chicago Medicine - UCH,003930,3,9,0
Dover Swep DONT USE,NONE,3,4,0
Kooziegroup,006192,6,10,6
CDK,005558,2,4,0
"Mountaire Farms of Delaware, INC",004687,1,4,0
Unite Integrated Solutions,004947,1,1,0
Arcadis Human Resources Ltd UK,001066,6,24,0
Remy Automotive Europe BV,001781,12,19,0
Solventum - 3M,000103,33,33,13
NATO Communications,004852,8,97,0
3D Systems,003907,11,24,1
Radio Systems Corporation - Petsafe - RSC,004923,2,5,2
Sportsman's Warehouse,005287,4,5,4
Agility Logistics - GFSSC,006478,2,16,0
Arcosa,006658,8,29,8
Atkins North America,006457,6,14,6
Sleeman Breweries Inc.,006713,10,83,6
Durham County Council,007344,3,6,0
Amundi,000543,8,68,3
Dont Use,000317,0,0,0
Semiconductor Components Industries LLC,002649,4,4,0
"PAREXEL International, LLC",003052,16,16,16
SSE (Not in Use),002877,3,3,0
Grays (NSW) Pty TA GraysOnline,001218,1,5,0
Gaiker,001065,0,7,0
GDC Technics LTD,006363,4,7,0
ESCO Weir Group,001141,1,5,0
Nan Fung Enterprises (HK) Ltd,001260,1,4,1
Boehringer Ingelheim Animal Health France,006993,0,18,0
GE Renewable Energy,002908,3,5,0
BioMarin Pharmaceutical Inc.,005266,4,12,4
Shared Services Connected Ltd (SSCL),003895,88,121,0
TKC Holdings - Centric Group (Dont use),003028,15,26,15
Greater Western Water (City West Water),002960,7,72,1
Domtar - Attends Healthecare,004657,1,9,1
Select Number Corp ,005399,4,6,4
T. Rowe Price Associates,002904,5,6,0
TP ICAP Group Services Ltd - Tullett,000352,12,52,11
CIMB  Bank Berhard,003479,75,104,15
Garden of Life,003059,10,25,10
ERT (eResearch Technology Inc),006486,1,8,1
Foremost Farms,006386,0,53,0
Home Group Ltd,004856,5,12,2
CARNIVAL Corp,004829,35,38,23
NCI Building - Cornerstone Building Brands,002941,1,1,0
Mercury Systems,000954,2,6,0
PMI Foods,000973,12,13,12
"Syneos Health, LLC",002961,9,18,0
 Foreign & Commonwealth and Development Office (FCDO),002834,10,23,0
Creation Technologies,000402,0,9,0
Cantium Business Solutions,000101,0,0,0
 Account London Borough of Brent,005093,2,4,0
"Altec, Inc.",005866,1,1,0
Millicom (temp keys in 2018),000691,0,3,0
ActewAGL,005805,7,26,7
Ferring Pharmaceuticals - Ferring International Centre,003838,8,29,2
Sleep Number Corp,005399,2,12,2
SSE (not in use),002877,2,7,0
Shared Services DONT USE,003895,7,7,0
DOVER - DONT USE,NONE,0,10,0
Soitec SA,002944,2,2,2
"Ribbon Communications Operating Company, Inc",004577,4,4,0
ATI Flat Rolled Products,003897,12,34,10
"Dürr Systems, Inc.",001692,3,3,0
Naval Group Australia Pty Limited,001410,5,15,0
Denso,003526,2,10,0
Subcom,000167,1,5,0
LUMA Energy ATCO,002594,8,15,6
"PCTEL, Inc.",000936,0,1,0
Aramark Ireland,005865,0,26,0
Celgene Logistics,002937,1,1,0
Expedia Inc,003360,28,56,12
Jacobs Group UK NO LONGER IN USE,004458,2,9,0
General Dynamics Electric Boat,000318,9,45,0
General Dynamics Land Systems UK Ltd,000345,9,16,2
SBS,003714,1,7,0
The Star Entertainment Group,005030,8,25,7
Trinity Industries Inc,000165,7,41,0
X-Rite,003853,4,16,0
pSemi Corporation - Peregrine,004606,4,16,0
Wyndham Hotel & Resorts,006228,36,79,16
Willis Towers Watson ,000163,33,42,28
Nifco America,000262,0,16,0
DRS Training & Control Systems,000051,19,19,0
Compu Com,000236,18,23,0
Foreign & Commonwealth and Development Office (FCDO)	,002834,0,3,0
Balfour Beatty.,002885,13,44,0
Kellogg Brown & Root LLC,002796,12,15,0
Hellmann Worldwide,002801,12,16,0
Vodafone New Zealand Ltd,000172,10,10,0
Seacor Holdings,000295,10,17,0
Andrew Peller,002661,8,16,0
Sinclair Broadcasting Group,003500,7,16,0
OxFam America,000269,7,10,0
Orion Health,004659,7,10,0
Ceridian,002753,10,11,0
NPS/Norris Rods,003032,7,8,0
Sonae,003793,6,12,0
Noble Energy,003617,6,17,0
CANDU Energy Inc,002888,6,22,0
Seadrill,004814,5,22,0
Koninklijke Nederlandse Academie van Wetenschappen,003378,5,5,0
Facebook,003004,5,8,0
Aisin World Corporation of American,002999,5,6,0
Smiths Medical,002792,4,37,0
Electrolux Professional ,008315,0,73,0
Globe Union - DONT USE,005671,0,2,0
Irish Gas Networks,007613,0,10,0
Fujirebio Diagnostics,001656,7,10,7
Trinity College University of Dublin ,002071,4,63,1
Huhtamaki Henderson Limited ,007938,0,60,0
Teva Pharmaceuticals Slovakia,002839,1,1,0
Light & Wonder,002794,62,69,19
UBM (Informa),003908,0,22,0
SE Trains Ltd,008619,1,3,1
DOVER  Business Services,004895,64,220,0
Tnemec,003384,0,39,0
Ametek Programmable Power ,008363,6,9,6
Hottinger Bruel & Kjaer UK Ltd,008975,0,10,0
HealthShare Victoria (HSV),007903,0,7,0
Gower Furniture,003923,0,9,0
Costa Crociere S.p.A.,002850,0,0,0
Ascential Group Ltd,009350,0,29,0
Ametek DFS,009416,12,24,0
Ametek Power Instruments - Rochester,000324,4,6,0
AMT Corporate ORT,000013,6,22,0
International Labour Organisation,008437,0,14,0
Aerojet Rocketdyne,002862,0,70,0
Rogers Enterprises,000938,0,13,0
Suffolk Construction,001352,0,20,0
Quanex Building Products,008540,0,44,0
Whirlpool Corporation,006368,0,4,0
Coopervision LLC UK,010289,5,6,1
IAMGOLD,002540,7,17,7
Go-Ahead Verkehrsgesellschft,010771,0,2,0
Wonderful P&A,008831,0,2,0
Health Support Services ,007969,1,8,1
Tempel,001306,0,4,0
IFF,010284,0,29,0
Amy's Kitchen ,001612,0,10,0
Gadot Bio,011563,0,3,0
Govia Thameslink Railway,011835,0,13,0
Project Eidos,009014,0,27,0
Tamer Group,011836,0,10,0
CRC,003648,0,4,0
Thales Corporate Services AU,013346,0,12,0
DXC APAC,003715,0,61,0
SC Lottery (DONT USE),008316,0,0,0
SG Lottery Scientific Games,008316,0,2,0
L and K Operations Pty Ltd,008094,0,4,0
FDJ,008413,0,20,0
Radboud University Nijmegen,000374,0,20,0
Claremont Consulting,004970,0,123,0
Travelport,5935,0,6,0
Fabral,013491,0,7,0
US Steel,004284,0,7,0
The Ottawa Hospital,002521,0,20,0
Syntiant,013258,0,6,0
Lycoming,009677,0,6,0
DHL International ,002733,0,14,0
GE GRID,000302,0,90,0
Straitdeer,009862,0,4,0
"Avery Dennison Retail Information Services, LLC",011969,0,1,0
Howmet Aerospace,001308,0,45,0
Steve West,003973,0,0,0
US Brick,007914,3,18,1
GXO,003489,3,18,0
F5,000064,2,2,0
United Surgical Partners International,005982,2,4,0
Hutt Valley DHB (HVDHB), ,6,36,0
Development WA,007918,0,29,0
Daikin Applied,005576,0,55,0
Huber Engineered Matirials,001801,5,22,0
Bertin Technologies,009325,0,17,0
Fluidra Americas,002530,0,21,0
DHHS,007408,0,3,0
